tx_hash,liquidator_address,collateral_redeemed,number_of_collateral_redeemed_tokens,ern_redeemed,collateral_fee,timestamp,block_number
0x80bf28d7be0de3e9563e7c4550fbc2a6b85a09263a786316f8f2fa215ce5de65,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,418718380331717837,1476451234109998695754,6573048333583269.0,1711822714,61846201
0xcefbc0a7bc4a848b0830f564d90807dc9daf2ef45893e819f9431e9f60c7633f,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,399744271351261705,1397525959857578487201,6832851437004534.0,1711727304,61798496
0x5eca0e22c9ba5a6c8f5032d5e5884272aeb8b9bc3301ec4c75862d652284440d,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,336346631672312893,1202513709007434009822,4462776062016187.0,1711544286,61706987
0xac4104ec03d5ca4a3b58d4827ee50758f43997799d37c6c10bc62ec8fb25fc5d,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,724206083107749156,2614261279508496001581,8725566882654987.0,1711501476,61685582
0x40d44b000b39981d5153bdd8f5dceb05f98e79d18333b17e5a55f4b098392ae6,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,257391247184034684,845027021372184432610,6408628700208940.0,1710850162,61359925
0x10b4e841ebd626f5140d9ee67b55049e4b5678d36d250dd46e570f191418e49d,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,426555351716452970,1494633103478058409887,1.3532126424142108e+16,1710774766,61322227
0xbe7ef25fb5f3690b744b7fa6a1e9ea50ef6b171d1b65d04ad8ac4bfd8b237f54,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,219046571133847439,786105572622306336524,7801732588088797.0,1710722470,61296079
0xb60cc6ae1a1e1749045cc98aff8942e5340cadaaef1dbf3b52b882d8f867f8b0,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,197329266155035858,713383776357354860798,6033722423245458.0,1710693234,61281461
0x67152a36860ba819c49ec5ad0a8f13dc3a9db5f0818b54bbea95d8785e0e24d1,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,417800846961417726,1480654072746133091401,1.455789146488002e+16,1710637704,61253696
0x23c38c2b0d136962ae533295f9eeb1541c532d9890bc21f80dda221a0ab8fdb9,0x295c6074F090f85819cbC911266522e43A8e0f4A,0xdEAddEaDdeadDEadDEADDEAddEADDEAddead1111,292231761179236550,1075199034358878896367,9004434306232683.0,1710604900,61237294
