from_address,to_address,tx_hash,timestamp,token_address,reserve_address,token_volume,asset_price,usd_token_amount,log_index,transaction_index,block_number
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x3f9343a5cf56d3b2fea405939f584a9e7661812ea220aa7a4e28584792256317,1714056893,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,70,0.99997657,69.9983599,23,6,6944655
0x0000000000000000000000000000000000000000,0x1D81D4A4f26D04F1CDe1ACA346862d2aB70df933,0x3f9343a5cf56d3b2fea405939f584a9e7661812ea220aa7a4e28584792256317,1714056893,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,40151745,0.99997657,40150804.244614646,28,6,6944655
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x34336e8b3e73ee7915a06188f0d2d8b3d4827281ddad8fc6ef2cebb50b4cf443,1714056943,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,585,0.99997657,584.98629345,0,1,6944680
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xc4a7ae9ae859a79921f4d08aece8cb02f28dbc2cfe9ab03ae7eb9f03fc477417,1714056979,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,421,0.99997657,420.99013597,43,10,6944698
0x0000000000000000000000000000000000000000,0x0B03326B04F27703Ff9A74EcF81f1e717Dd6a256,0xc4a7ae9ae859a79921f4d08aece8cb02f28dbc2cfe9ab03ae7eb9f03fc477417,1714056979,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,9700,0.99997657,9699.772729,48,10,6944698
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xe5a327ffdc5d8110b3de20f4137934e1d251bba81b45b1db978e67411cdcefef,1714057177,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,2317,0.99997657,2316.9457126899997,7,4,6944797
0x0000000000000000000000000000000000000000,0xf9e59F61f82b8bF0E1437B2e9913975C000b8df8,0xe5a327ffdc5d8110b3de20f4137934e1d251bba81b45b1db978e67411cdcefef,1714057177,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,10900,0.99997657,10899.744612999999,12,4,6944797
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x2e49d0f3e3bd7b59b6914de633472d29953e4aaa9bd44f2dd7f878dae41e84ee,1714057321,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,1685,0.99997657,1684.9605204499999,22,8,6944869
0x0000000000000000000000000000000000000000,0xcbeF94ee7fd93A1B341393029E3C331E417924E0,0x2e49d0f3e3bd7b59b6914de633472d29953e4aaa9bd44f2dd7f878dae41e84ee,1714057321,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,8100,0.99997657,8099.810216999999,27,8,6944869
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x52f588a535c8a576da5ac73d0aea379f1aef6298d6944ef2d399fa3e146aeec2,1714057323,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,23,0.99997657,22.99946111,13,3,6944870
0x0000000000000000000000000000000000000000,0x00B0261761663147093d7C9290E760DCEf9361E4,0x52f588a535c8a576da5ac73d0aea379f1aef6298d6944ef2d399fa3e146aeec2,1714057323,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,17600,0.99997657,17599.587632,18,3,6944870
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xa1665be775fbe263d1bf1f39cecd74f6bc800f35375121bb64c5e8ed11fc7a72,1714057347,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,281,0.99997657,280.99341617,10,6,6944882
0x0000000000000000000000000000000000000000,0x79682489385337996edD00eB56B4238b597BFAE7,0xa1665be775fbe263d1bf1f39cecd74f6bc800f35375121bb64c5e8ed11fc7a72,1714057347,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,305458400,0.99997657,305451243.109688,15,6,6944882
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x122a571081be29979e531ddf7bdc3c346d6d8c6cfd94eafd89abec4da4aa7978,1714057391,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,515,0.99997657,514.98793355,0,1,6944904
0x0000000000000000000000000000000000000000,0x1e7A7003B8ad2fFaEc76a4094FB1ba897fa3774A,0x122a571081be29979e531ddf7bdc3c346d6d8c6cfd94eafd89abec4da4aa7978,1714057391,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,15200,0.99997657,15199.643864,5,1,6944904
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x0c54d2d58eb7c49af421653920c97184b71a98d976824689ee78c06a6530b8de,1714057505,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,1334,0.99997657,1333.9687443799999,0,2,6944961
0x0000000000000000000000000000000000000000,0x4195be7ab9Cf9a5C7a71C43C162d7bf6169B9EA5,0x0c54d2d58eb7c49af421653920c97184b71a98d976824689ee78c06a6530b8de,1714057505,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,23600,0.99997657,23599.447052,5,2,6944961
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x407f7ea561c0f46911b525dfe51d9fe3a4b05b068b138b93bebbdb9da63cb82d,1714057509,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,47,0.99997657,46.99889879,10,10,6944963
0x0000000000000000000000000000000000000000,0x4195be7ab9Cf9a5C7a71C43C162d7bf6169B9EA5,0x407f7ea561c0f46911b525dfe51d9fe3a4b05b068b138b93bebbdb9da63cb82d,1714057509,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,22100,0.99997657,22099.482196999998,15,10,6944963
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xfeaae0928bb5212df3f4abed31b7b20337ebaac67d433c5ecb1531122a09f839,1714057881,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,4352,0.99997657,4351.89803264,0,1,6945149
