from_address,to_address,tx_hash,timestamp,token_address,reserve_address,token_volume,asset_price,usd_token_amount,log_index,transaction_index,block_number
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x684cf3116c933944a19ab1188b2e6ddb58283ae157a664b458557b07b80af02a,1714046941,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,5599,1.00006449,5599.361079509999,5,3,6939679
0x0000000000000000000000000000000000000000,0x55F2ff5bb246c945795736168BFf3c4bc35B814E,0x684cf3116c933944a19ab1188b2e6ddb58283ae157a664b458557b07b80af02a,1714046941,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,21200,1.00006449,21201.367188,10,3,6939679
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xb7a30d8174e6eda4895044d0f8dde7e8cf0419055ea48dcc051a82f670cb8c11,1714047117,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,2053,1.00006449,2053.13239797,7,4,6939767
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xf4fe597ff90354771268a7bdb84e4598cec40ebe72a46b9e92ca84fd2d2945f0,1714047329,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,2474,1.00006449,2474.15954826,23,7,6939873
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x1a11ee4b074898fe0f1a74d3b45dae2f9bf4a39684dd504cdc01bfc182b2f6af,1714047399,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,817,1.00006449,817.05268833,6,4,6939908
0x0000000000000000000000000000000000000000,0x4f795C90f1B8C95869b7CA28db9C227759b04F6A,0x1a11ee4b074898fe0f1a74d3b45dae2f9bf4a39684dd504cdc01bfc182b2f6af,1714047399,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,7400,1.00006449,7400.477226,11,4,6939908
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x3f2184a76a1670d4206ba94c01e8339718cb05ad7f0e1d12aea7c35d7e12c32e,1714047617,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,2544,1.00006449,2544.16406256,16,6,6940017
0x0000000000000000000000000000000000000000,0xE1535fCEf160838e43D4592F3125b06E0cF3262c,0x3f2184a76a1670d4206ba94c01e8339718cb05ad7f0e1d12aea7c35d7e12c32e,1714047617,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,16500,1.00006449,16501.064084999998,21,6,6940017
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0x2f18397aa45d4ffb8e5d6ad8c5a01a1e3c40df04e1826618990b707cc17055e9,1714047723,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,1237,1.00006449,1237.07977413,11,4,6940070
0x0000000000000000000000000000000000000000,0xd93E25A8B1D645b15f8c736E1419b4819Ff9e6EF,0xe1383abe02f35a88b772fcfd00007f78dfb07e9ad99102ba9eef202a63853590,1714047893,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,1983,1.00006449,1983.1278836699998,33,6,6940155
0x80ae4e982be5B67051E6846ba818094ee22Cf05b,0x0000000000000000000000000000000000000000,0xe1383abe02f35a88b772fcfd00007f78dfb07e9ad99102ba9eef202a63853590,1714047893,0xe7334Ad0e325139329E747cF2Fc24538dD564987,0xd988097fb8612cc24eeC14542bC03424c656005f,445000000,1.00006449,445028698.05,37,6,6940155
